id,filename,group,category,index_in_set,image_path,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,label,imageID
ai_abstract_00039,ai_abstract_00039.jpg,ai,abstract,39,images/ai_abstract_00039.jpg,216,32.6369,48,51.8749,151,25.6191,AI Abstract 00039,39
ai_abstract_00040,ai_abstract_00040.jpg,ai,abstract,40,images/ai_abstract_00040.jpg,61,51.81,21,54.6859,144,73.3124,AI Abstract 00040,40
ai_abstract_00041,ai_abstract_00041.jpg,ai,abstract,41,images/ai_abstract_00041.jpg,103,56.2174,150,53.9547,139,85.3686,AI Abstract 00041,41
ai_abstract_00042,ai_abstract_00042.jpg,ai,abstract,42,images/ai_abstract_00042.jpg,129,70.5981,23,19.5058,85,43.9772,AI Abstract 00042,42
ai_abstract_00043,ai_abstract_00043.jpg,ai,abstract,43,images/ai_abstract_00043.jpg,219,24.3492,13,12.4717,23,42.2242,AI Abstract 00043,43
ai_abstract_00044,ai_abstract_00044.jpg,ai,abstract,44,images/ai_abstract_00044.jpg,253,12.7132,27,31.4068,34,100.4351,AI Abstract 00044,44
ai_abstract_00045,ai_abstract_00045.jpg,ai,abstract,45,images/ai_abstract_00045.jpg,103,84.1893,169,84.0174,14,40.6996,AI Abstract 00045,45
ai_abstract_00046,ai_abstract_00046.jpg,ai,abstract,46,images/ai_abstract_00046.jpg,112,31.837,26,25.2232,31,15.8364,AI Abstract 00046,46
ai_abstract_00047,ai_abstract_00047.jpg,ai,abstract,47,images/ai_abstract_00047.jpg,156,33.0095,93,65.6137,139,63.9293,AI Abstract 00047,47
ai_abstract_00048,ai_abstract_00048.jpg,ai,abstract,48,images/ai_abstract_00048.jpg,171,62.2918,59,48.7223,150,85.9807,AI Abstract 00048,48
ai_abstract_00049,ai_abstract_00049.jpg,ai,abstract,49,images/ai_abstract_00049.jpg,207,33.0694,157,84.1408,141,9.1589,AI Abstract 00049,49
ai_abstract_00050,ai_abstract_00050.jpg,ai,abstract,50,images/ai_abstract_00050.jpg,119,56.6029,185,48.0059,16,69.3504,AI Abstract 00050,50
ai_abstract_00051,ai_abstract_00051.jpg,ai,abstract,51,images/ai_abstract_00051.jpg,186,48.1171,99,68.4555,190,74.2257,AI Abstract 00051,51
ai_abstract_00052,ai_abstract_00052.jpg,ai,abstract,52,images/ai_abstract_00052.jpg,235,18.6651,84,66.3176,24,67.2797,AI Abstract 00052,52
ai_abstract_00053,ai_abstract_00053.jpg,ai,abstract,53,images/ai_abstract_00053.jpg,118,42.5295,41,49.5439,21,54.5968,AI Abstract 00053,53
ai_abstract_00054,ai_abstract_00054.jpg,ai,abstract,54,images/ai_abstract_00054.jpg,78,50.9558,44,36.9198,40,48.3892,AI Abstract 00054,54
ai_abstract_00055,ai_abstract_00055.jpg,ai,abstract,55,images/ai_abstract_00055.jpg,131,38.6294,89,54.8027,20,62.927,AI Abstract 00055,55
ai_abstract_00056,ai_abstract_00056.jpg,ai,abstract,56,images/ai_abstract_00056.jpg,240,14.8549,64,28.4655,26,107.9933,AI Abstract 00056,56
ai_abstract_00057,ai_abstract_00057.jpg,ai,abstract,57,images/ai_abstract_00057.jpg,219,25.3884,18,41.1864,215,66.7944,AI Abstract 00057,57
ai_abstract_00058,ai_abstract_00058.jpg,ai,abstract,58,images/ai_abstract_00058.jpg,248,52.7209,10,50.8157,31,19.2334,AI Abstract 00058,58
ai_abstract_00059,ai_abstract_00059.jpg,ai,abstract,59,images/ai_abstract_00059.jpg,140,43.0401,66,26.6267,23,43.519,AI Abstract 00059,59
ai_abstract_00060,ai_abstract_00060.jpg,ai,abstract,60,images/ai_abstract_00060.jpg,185,34.3455,168,55.4952,151,3.4961,AI Abstract 00060,60
ai_abstract_00061,ai_abstract_00061.jpg,ai,abstract,61,images/ai_abstract_00061.jpg,198,48.5032,87,55.9026,27,96.0943,AI Abstract 00061,61
ai_abstract_00062,ai_abstract_00062.jpg,ai,abstract,62,images/ai_abstract_00062.jpg,56,51.856,102,42.4027,70,50.8188,AI Abstract 00062,62
ai_abstract_00063,ai_abstract_00063.jpg,ai,abstract,63,images/ai_abstract_00063.jpg,86,48.3113,54,52.9654,24,75.9179,AI Abstract 00063,63
ai_abstract_00064,ai_abstract_00064.jpg,ai,abstract,64,images/ai_abstract_00064.jpg,199,42.439,183,58.4072,23,10.2945,AI Abstract 00064,64
ai_abstract_00065,ai_abstract_00065.jpg,ai,abstract,65,images/ai_abstract_00065.jpg,77,44.2745,83,47.9539,123,74.29,AI Abstract 00065,65
ai_abstract_00066,ai_abstract_00066.jpg,ai,abstract,66,images/ai_abstract_00066.jpg,183,32.7945,98,52.4383,137,64.0362,AI Abstract 00066,66
ai_abstract_00067,ai_abstract_00067.jpg,ai,abstract,67,images/ai_abstract_00067.jpg,161,65.0499,47,45.52,40,63.1522,AI Abstract 00067,67
ai_abstract_00068,ai_abstract_00068.jpg,ai,abstract,68,images/ai_abstract_00068.jpg,141,37.5545,28,14.3025,21,72.2256,AI Abstract 00068,68
ai_abstract_00069,ai_abstract_00069.jpg,ai,abstract,69,images/ai_abstract_00069.jpg,205,58.7348,9,36.6136,31,45.4604,AI Abstract 00069,69
ai_abstract_00070,ai_abstract_00070.jpg,ai,abstract,70,images/ai_abstract_00070.jpg,215,24.6309,94,38.6612,18,17.5181,AI Abstract 00070,70
ai_abstract_00071,ai_abstract_00071.jpg,ai,abstract,71,images/ai_abstract_00071.jpg,225,68.1718,21,52.3481,145,5.7745,AI Abstract 00071,71
ai_abstract_00072,ai_abstract_00072.jpg,ai,abstract,72,images/ai_abstract_00072.jpg,223,35.3607,44,36.515,21,6.3395,AI Abstract 00072,72
ai_abstract_00073,ai_abstract_00073.jpg,ai,abstract,73,images/ai_abstract_00073.jpg,243,39.8606,3,25.1858,145,61.9033,AI Abstract 00073,73
ai_abstract_00074,ai_abstract_00074.jpg,ai,abstract,74,images/ai_abstract_00074.jpg,140,32.7156,169,28.2674,19,31.8702,AI Abstract 00074,74
ai_abstract_00075,ai_abstract_00075.jpg,ai,abstract,75,images/ai_abstract_00075.jpg,248,27.8116,5,52.4773,13,93.2452,AI Abstract 00075,75
ai_abstract_00076,ai_abstract_00076.jpg,ai,abstract,76,images/ai_abstract_00076.jpg,254,96.7467,0,53.9005,0,37.0492,AI Abstract 00076,76
ai_abstract_00077,ai_abstract_00077.jpg,ai,abstract,77,images/ai_abstract_00077.jpg,69,57.4847,112,54.2514,29,48.196,AI Abstract 00077,77
ai_abstract_00078,ai_abstract_00078.jpg,ai,abstract,78,images/ai_abstract_00078.jpg,47,70.0188,56,46.1065,155,76.3398,AI Abstract 00078,78
ai_abstract_00079,ai_abstract_00079.jpg,ai,abstract,79,images/ai_abstract_00079.jpg,194,44.6451,83,46.9131,29,83.2702,AI Abstract 00079,79
ai_abstract_00080,ai_abstract_00080.jpg,ai,abstract,80,images/ai_abstract_00080.jpg,144,45.5375,88,29.3374,23,48.8303,AI Abstract 00080,80
ai_abstract_00081,ai_abstract_00081.jpg,ai,abstract,81,images/ai_abstract_00081.jpg,211,33.8955,118,45.4968,142,72.3866,AI Abstract 00081,81
ai_abstract_00082,ai_abstract_00082.jpg,ai,abstract,82,images/ai_abstract_00082.jpg,219,52.5671,5,33.8664,42,28.4669,AI Abstract 00082,82
ai_abstract_00083,ai_abstract_00083.jpg,ai,abstract,83,images/ai_abstract_00083.jpg,226,31.6824,11,16.9399,18,43.1428,AI Abstract 00083,83
ai_abstract_00084,ai_abstract_00084.jpg,ai,abstract,84,images/ai_abstract_00084.jpg,167,57.5636,63,33.6597,221,50.7056,AI Abstract 00084,84
ai_abstract_00085,ai_abstract_00085.jpg,ai,abstract,85,images/ai_abstract_00085.jpg,205,66.7109,30,53.0223,166,69.8969,AI Abstract 00085,85
ai_abstract_00086,ai_abstract_00086.jpg,ai,abstract,86,images/ai_abstract_00086.jpg,105,58.3882,46,31.1725,42,48.5922,AI Abstract 00086,86
ai_abstract_00087,ai_abstract_00087.jpg,ai,abstract,87,images/ai_abstract_00087.jpg,185,36.6281,176,61.3032,185,40.6689,AI Abstract 00087,87
ai_abstract_00088,ai_abstract_00088.jpg,ai,abstract,88,images/ai_abstract_00088.jpg,148,38.443,141,25.4636,27,13.4901,AI Abstract 00088,88
ai_abstract_00089,ai_abstract_00089.jpg,ai,abstract,89,images/ai_abstract_00089.jpg,193,74.4017,210,76.7112,29,8.9901,AI Abstract 00089,89
ai_abstract_00090,ai_abstract_00090.jpg,ai,abstract,90,images/ai_abstract_00090.jpg,216,41.5674,34,50.3195,30,42.7961,AI Abstract 00090,90
ai_cityscape_00001,ai_cityscape_00001.jpg,ai,cityscape,1,images/ai_cityscape_00001.jpg,159,66.3532,41,28.6577,22,53.1826,AI Cityscape 00001,91
ai_cityscape_00002,ai_cityscape_00002.jpg,ai,cityscape,2,images/ai_cityscape_00002.jpg,169,65.4,48,28.3423,21,65.8848,AI Cityscape 00002,92
ai_cityscape_00003,ai_cityscape_00003.jpg,ai,cityscape,3,images/ai_cityscape_00003.jpg,64,52.0241,138,59.8572,21,80.8521,AI Cityscape 00003,93
ai_cityscape_00004,ai_cityscape_00004.jpg,ai,cityscape,4,images/ai_cityscape_00004.jpg,88,57.6265,50,50.6048,144,68.5485,AI Cityscape 00004,94
ai_cityscape_00005,ai_cityscape_00005.jpg,ai,cityscape,5,images/ai_cityscape_00005.jpg,56,39.1146,37,34.7289,162,73.8954,AI Cityscape 00005,95
ai_cityscape_00006,ai_cityscape_00006.jpg,ai,cityscape,6,images/ai_cityscape_00006.jpg,173,60.3149,18,21.0372,142,38.5886,AI Cityscape 00006,96
ai_cityscape_00007,ai_cityscape_00007.jpg,ai,cityscape,7,images/ai_cityscape_00007.jpg,127,65.3087,39,35.619,70,61.1807,AI Cityscape 00007,97
ai_cityscape_00008,ai_cityscape_00008.jpg,ai,cityscape,8,images/ai_cityscape_00008.jpg,62,49.7614,15,10.2265,70,48.4221,AI Cityscape 00008,98
ai_cityscape_00009,ai_cityscape_00009.jpg,ai,cityscape,9,images/ai_cityscape_00009.jpg,164,60.1859,155,67.6363,150,53.2393,AI Cityscape 00009,99
ai_cityscape_00010,ai_cityscape_00010.jpg,ai,cityscape,10,images/ai_cityscape_00010.jpg,98,47.4399,61,61.7646,171,50.7068,AI Cityscape 00010,100
ai_cityscape_00011,ai_cityscape_00011.jpg,ai,cityscape,11,images/ai_cityscape_00011.jpg,25,35.2785,135,56.7495,147,46.9328,AI Cityscape 00011,101
ai_cityscape_00012,ai_cityscape_00012.jpg,ai,cityscape,12,images/ai_cityscape_00012.jpg,209,51.1721,8,36.7288,139,87.2844,AI Cityscape 00012,102
ai_cityscape_00013,ai_cityscape_00013.jpg,ai,cityscape,13,images/ai_cityscape_00013.jpg,129,38.3777,84,31.4385,23,3.26,AI Cityscape 00013,103
ai_cityscape_00014,ai_cityscape_00014.jpg,ai,cityscape,14,images/ai_cityscape_00014.jpg,183,64.7143,13,33.0656,205,89.4295,AI Cityscape 00014,104
ai_cityscape_00015,ai_cityscape_00015.jpg,ai,cityscape,15,images/ai_cityscape_00015.jpg,191,60.1918,7,24.9297,77,49.8124,AI Cityscape 00015,105
ai_cityscape_00016,ai_cityscape_00016.jpg,ai,cityscape,16,images/ai_cityscape_00016.jpg,42,58.5459,47,37.4607,26,44.0967,AI Cityscape 00016,106
ai_cityscape_00017,ai_cityscape_00017.jpg,ai,cityscape,17,images/ai_cityscape_00017.jpg,213,69.8035,43,30.1985,23,64.145,AI Cityscape 00017,107
ai_cityscape_00018,ai_cityscape_00018.jpg,ai,cityscape,18,images/ai_cityscape_00018.jpg,38,56.4607,126,59.5241,139,66.0395,AI Cityscape 00018,108
