filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
ai_abstract_00086.jpg	86	105	58.3882	46	31.1725	42	48.5922
ai_abstract_00087.jpg	87	185	36.6281	176	61.3032	185	40.6689
ai_abstract_00088.jpg	88	148	38.443	141	25.4636	27	13.4901
ai_abstract_00089.jpg	89	193	74.4017	210	76.7112	29	8.9901
ai_abstract_00090.jpg	90	216	41.5674	34	50.3195	30	42.7961
ai_cityscape_00001.jpg	91	159	66.3532	41	28.6577	22	53.1826
ai_cityscape_00002.jpg	92	169	65.4	48	28.3423	21	65.8848
ai_cityscape_00003.jpg	93	64	52.0241	138	59.8572	21	80.8521
ai_cityscape_00004.jpg	94	88	57.6265	50	50.6048	144	68.5485
ai_cityscape_00005.jpg	95	56	39.1146	37	34.7289	162	73.8954
ai_cityscape_00006.jpg	96	173	60.3149	18	21.0372	142	38.5886
ai_cityscape_00007.jpg	97	127	65.3087	39	35.619	70	61.1807
ai_cityscape_00008.jpg	98	62	49.7614	15	10.2265	70	48.4221
ai_cityscape_00009.jpg	99	164	60.1859	155	67.6363	150	53.2393
ai_cityscape_00010.jpg	100	98	47.4399	61	61.7646	171	50.7068
ai_cityscape_00011.jpg	101	25	35.2785	135	56.7495	147	46.9328
ai_cityscape_00012.jpg	102	209	51.1721	8	36.7288	139	87.2844
ai_cityscape_00013.jpg	103	129	38.3777	84	31.4385	23	3.26
ai_cityscape_00014.jpg	104	183	64.7143	13	33.0656	205	89.4295
ai_cityscape_00015.jpg	105	191	60.1918	7	24.9297	77	49.8124
ai_cityscape_00016.jpg	106	42	58.5459	47	37.4607	26	44.0967
ai_cityscape_00017.jpg	107	213	69.8035	43	30.1985	23	64.145
ai_cityscape_00018.jpg	108	38	56.4607	126	59.5241	139	66.0395
ai_cityscape_00019.jpg	109	254	44.2761	0	23.2196	0	39.209
ai_cityscape_00020.jpg	110	83	58.8598	44	26.0171	157	78.2728
ai_cityscape_00021.jpg	111	125	50.3627	86	37.0418	158	34.2598
ai_cityscape_00022.jpg	112	47	39.3937	84	51.3135	146	71.3682
ai_cityscape_00023.jpg	113	89	52.8239	96	44.072	165	61.4631
ai_cityscape_00024.jpg	114	144	62.2151	41	42.7515	131	55.8036
ai_cityscape_00025.jpg	115	131	57.5584	37	39.7437	18	71.731
ai_cityscape_00026.jpg	116	75	44.966	38	31.2046	42	68.4746
ai_cityscape_00027.jpg	117	195	56.5828	20	17.859	42	36.3199
ai_cityscape_00028.jpg	118	127	47.9644	45	30.7992	18	77.1731
ai_cityscape_00029.jpg	119	118	52.9284	66	36.5753	150	54.7424
ai_cityscape_00030.jpg	120	201	51.1155	64	42.2043	138	58.9071
ai_cityscape_00031.jpg	121	153	70.4431	23	45.3886	146	54.3511
ai_cityscape_00032.jpg	122	77	61.8132	27	40.4079	127	60.8193
ai_cityscape_00033.jpg	123	63	54.6766	63	44.9233	139	54.1337
ai_cityscape_00034.jpg	124	203	64.43	20	39.3779	172	75.6873
ai_cityscape_00035.jpg	125	97	55.5715	46	47.9281	138	39.933
ai_cityscape_00036.jpg	126	101	65.5699	146	39.7142	22	13.8937
ai_cityscape_00037.jpg	127	110	49.1164	71	33.3185	145	68.5961
ai_cityscape_00038.jpg	128	218	54.0186	21	12.7527	21	15.6421
ai_cityscape_00039.jpg	129	74	57.0863	49	26.0715	146	34.6951
ai_cityscape_00040.jpg	130	139	58.933	98	35.3568	147	23.131
ai_cityscape_00041.jpg	131	104	55.1235	38	32.2379	135	33.3104
ai_cityscape_00042.jpg	132	88	49.7265	40	23.2692	61	58.0735
ai_cityscape_00043.jpg	133	144	69.11	25	14.2773	36	24.3162
ai_cityscape_00044.jpg	134	149	67.0952	33	41.5222	161	87.8423
ai_cityscape_00045.jpg	135	158	40.6804	66	28.9135	148	50.0341
ai_cityscape_00046.jpg	136	106	42.1169	82	42.8693	146	68.3156
ai_cityscape_00047.jpg	137	126	64.3703	44	40.7651	148	65.1805
ai_cityscape_00048.jpg	138	69	50.5589	51	45.1999	116	57.2765
ai_cityscape_00049.jpg	139	58	60.3164	83	43.7943	148	53.8613
ai_cityscape_00050.jpg	140	97	43.216	64	47.9805	136	39.486
ai_cityscape_00051.jpg	141	98	49.4624	77	49.2225	144	53.545
ai_cityscape_00052.jpg	142	193	30.6921	32	26.1595	135	43.0069
