"image_id","brightness_median","brightness_stdev","saturation_median","saturation_stdev","hue_median","hue_stdev","group","category"
19,151,78.84,64,47.35,135,54.02,"Human","Portre"
20,76,54.39,113,53.05,20,6.23,"Human","Portre"
21,131,63.71,48,58.79,50,31.57,"Human","Portre"
22,124,65.85,66,41.9,16,58.4,"Human","Portre"
23,150,70.02,127,73.01,51,94.71,"Human","Portre"
24,81,30.65,93,40.91,24,27.84,"Human","Portre"
25,137,66.35,109,48.78,33,84.14,"Human","Portre"
26,145,54.92,86,62.06,94,54.26,"Human","Portre"
27,138,84.39,63,70.4,143,62.51,"Human","Portre"
28,56,77.62,103,53.07,163,57.84,"Human","Portre"
29,213,67.17,20,55.58,85,66.27,"Human","Portre"
30,138,75.57,97,81.13,69,62.82,"Human","Portre"
31,169,71.71,52,88.82,135,67.38,"Human","Portre"
32,161,82.18,69,61.23,22,38.57,"Human","Portre"
33,201,47.25,59,58.72,21,37.09,"Human","Portre"
34,100,73.28,135,47.67,22,23.86,"Human","Portre"
35,227,85.38,92,40.15,252,105.94,"Human","Portre"
36,22,32.07,183,54.72,79,37.5,"Human","Portre"
37,235,85.09,211,58.12,10,117.1,"Human","Portre"
38,163,42.46,20,40.03,60,73.03,"Human","Portre"
39,193,70.37,85,67.39,17,15.77,"Human","Portre"
40,117,44.5,43,32.7,29,53.74,"Human","Portre"
41,104,66.29,22,33.01,36,46.87,"Human","Portre"
42,177,69.63,35,31.13,79,53.89,"Human","Portre"
43,77,78.05,100,60.37,28,116.82,"Human","Portre"
44,67,61.02,61,41.4,26,37.33,"Human","Portre"
45,148,57.48,65,96.4,104,35.15,"Human","Portre"
46,76,54.36,97,58.92,22,72.26,"Human","Portre"
47,109,68.32,43,53.51,121,65.95,"Human","Portre"
48,101,73.61,32,52.96,127,63.75,"Human","Portre"
49,108,94.32,49,46.98,142,74.68,"Human","Portre"
50,207,84.26,25,50.03,48,12.55,"Human","Portre"
51,176,81.28,13,68.67,143,53.11,"Human","Portre"
52,104,41.31,45,39.6,51,71.72,"Human","Portre"
53,202,60.18,87,60.37,42,52.69,"Human","Portre"
54,63,51.13,63,56.33,7,85.05,"Human","Portre"
55,184,73.18,130,71.16,140,65.71,"Human","Portre"
56,253,63.35,31,51.01,26,17.59,"Human","Portre"
57,118,83.91,69,55,106,67.6,"Human","Portre"
58,90,78.8,146,80.18,11,90.33,"Human","Portre"
59,80,60.55,46,29.85,38,71.51,"Human","Portre"
60,78,52.65,50,52.08,99,83.18,"Human","Portre"
61,42,59.03,162,80.6,42,41.22,"Human","Portre"
62,15,67.31,165,61.66,146,68.19,"Human","Portre"
63,144,45.43,56,45.74,149,64.36,"Human","Portre"
64,208,85.37,36,32.53,144,27.29,"Human","Portre"
65,108,75.91,72,73.71,29,87.3,"Human","Portre"
66,58,41.36,88,41.66,94,38.12,"Human","Portre"
67,89,45.93,48,37.92,21,38.38,"Human","Portre"
68,194,63.08,72,30.89,16,61.11,"Human","Portre"
